target_angular,actual_angular,target_velocity,actual_velocity,time
1.29347,1.21175,0.661753,29.3147,0.113
1.29413,1.24263,0.667232,30.8843,0.114
1.2948,1.24263,0.672701,30.8843,0.115
1.29548,1.24263,0.678161,30.8843,0.116
1.29616,1.24263,0.683611,30.8843,0.117
1.29684,1.24263,0.689052,30.8843,0.118
1.29754,1.53295,0.694483,-8.87285,0.119
1.29823,1.53295,0.699905,-8.87285,0.12
1.29894,1.53295,0.705317,-8.87285,0.121
1.29964,1.53295,0.710719,-8.87285,0.122
1.30036,1.53295,0.716111,-8.87285,0.123
1.30108,1.53295,0.721493,-8.87285,0.124
1.3018,1.14069,0.726865,-20.3703,0.125
1.30253,1.14069,0.732227,-20.3703,0.126
1.30326,1.14069,0.73758,-20.3703,0.127
1.30401,1.14069,0.742922,-20.3703,0.128
1.30475,1.14069,0.748254,-20.3703,0.129
1.3055,1.14069,0.753575,-20.3703,0.13
1.30626,0.98687,0.758887,18.1408,0.131
1.30702,0.98687,0.764188,18.1408,0.132
1.30779,0.98687,0.769478,18.1408,0.133
1.30856,0.98687,0.774758,18.1408,0.134
1.30934,0.98687,0.780028,18.1408,0.135
1.31012,0.98687,0.785287,18.1408,0.136
1.31091,1.44594,0.790536,18.5748,0.137
1.3117,1.44594,0.795774,18.5748,0.138
1.3125,1.44594,0.801002,18.5748,0.139
1.3133,1.44594,0.806218,18.5748,0.14
1.31411,1.44594,0.811424,18.5748,0.141
1.31492,1.44594,0.816619,18.5748,0.142
1.31574,1.4456,0.821804,-21.7946,0.143
1.31657,1.4456,0.826977,-21.7946,0.144
1.3174,1.4456,0.83214,-21.7946,0.145
1.31823,1.4456,0.837291,-21.7946,0.146
1.31907,1.4456,0.842432,-21.7946,0.147
1.31992,1.4456,0.847561,-21.7946,0.148
1.32077,1.13252,0.852679,-0.214527,0.149
1.32162,1.13252,0.857787,-0.214527,0.15
1.32248,1.13252,0.862883,-0.214527,0.151
1.32335,1.13252,0.867968,-0.214527,0.152
1.32422,1.13252,0.873041,-0.214527,0.153
1.32509,1.13252,0.878103,-0.214527,0.154
1.32597,1.13252,0.883154,-0.214527,0.155
1.32686,1.37058,0.888194,18.7703,0.156
1.32775,1.37058,0.893222,18.7703,0.157
1.32865,1.37058,0.898239,18.7703,0.158
1.32955,1.37058,0.903244,18.7703,0.159
1.33045,1.37058,0.908238,18.7703,0.16
1.33136,1.37058,0.91322,18.7703,0.161
1.33228,1.63094,0.918191,-4.63041,0.162
1.3332,1.6157,0.92315,-8.59897,0.163
1.33413,1.6157,0.928097,-8.59897,0.164
1.33506,1.6157,0.933033,-8.59897,0.165
1.33599,1.6157,0.937957,-8.59897,0.166
1.33693,1.6157,0.942869,-8.59897,0.167
1.33788,1.30344,0.94777,-19.3376,0.168
1.33883,1.28392,0.952658,-19.5277,0.169
1.33978,1.28392,0.957535,-19.5277,0.17
1.34074,1.28392,0.9624,-19.5277,0.171
1.34171,1.28392,0.967253,-19.5277,0.172
1.34268,1.28392,0.972094,-19.5277,0.173
1.34365,1.28392,0.976923,-19.5277,0.174
1.34463,1.22443,0.981741,17.6424,0.175
1.34562,1.22443,0.986546,17.6424,0.176
1.3466,1.22443,0.991339,17.6424,0.177
1.3476,1.22443,0.99612,17.6424,0.178
1.3486,1.22443,1.00089,17.6424,0.179
1.3496,1.22443,1.00565,17.6424,0.18
1.35061,1.22443,1.01039,17.6424,0.181
1.35162,1.57388,1.01512,3.63627,0.182
1.35264,1.57762,1.01984,1.29147,0.183
1.35366,1.57762,1.02455,1.29147,0.184
1.35469,1.57762,1.02925,1.29147,0.185
1.35572,1.57762,1.03393,1.29147,0.186
1.35676,1.57762,1.0386,1.29147,0.187
