target_angular,actual_angular,target_velocity,actual_velocity,time
-0.515619,-0.54565,0.737793,3.48249,0.105
-0.514882,-0.54565,0.734883,3.48249,0.106
-0.514149,-0.54565,0.731975,3.48249,0.107
-0.513418,-0.47306,0.729069,0.988091,0.108
-0.512691,-0.47306,0.726165,0.988091,0.109
-0.511966,-0.47306,0.723263,0.988091,0.11
-0.511244,-0.47306,0.720363,0.988091,0.111
-0.510525,-0.47306,0.717465,0.988091,0.112
-0.509809,-0.509757,0.714569,-3.97859,0.113
-0.509096,-0.513906,0.711676,-4.14927,0.114
-0.508386,-0.513906,0.708784,-4.14927,0.115
-0.507679,-0.513906,0.705895,-4.14927,0.116
-0.506974,-0.513906,0.703007,-4.14927,0.117
-0.506273,-0.513906,0.700122,-4.14927,0.118
-0.505574,-0.547877,0.697239,1.29779,0.119
-0.504878,-0.547877,0.694359,1.29779,0.12
-0.504185,-0.547877,0.691481,1.29779,0.121
-0.503495,-0.547877,0.688605,1.29779,0.122
-0.502808,-0.547877,0.685731,1.29779,0.123
-0.502124,-0.547877,0.68286,1.29779,0.124
-0.501442,-0.490184,0.679991,3.23164,0.125
-0.500764,-0.490184,0.677124,3.23164,0.126
-0.500088,-0.490184,0.67426,3.23164,0.127
-0.499415,-0.490184,0.671398,3.23164,0.128
-0.498745,-0.490184,0.668539,3.23164,0.129
-0.498078,-0.490184,0.665682,3.23164,0.13
-0.497414,-0.462527,0.662828,-2.619,0.131
-0.496752,-0.462527,0.659976,-2.619,0.132
-0.496094,-0.462527,0.657127,-2.619,0.133
-0.495438,-0.462527,0.65428,-2.619,0.134
-0.494785,-0.462527,0.651436,-2.619,0.135
-0.494135,-0.462527,0.648595,-2.619,0.136
-0.493488,-0.523179,0.645756,-2.07607,0.137
-0.492844,-0.523179,0.642919,-2.07607,0.138
-0.492202,-0.523179,0.640086,-2.07607,0.139
-0.491564,-0.523179,0.637255,-2.07607,0.14
-0.490928,-0.523179,0.634426,-2.07607,0.141
-0.490295,-0.523179,0.631601,-2.07607,0.142
-0.489665,-0.517705,0.628778,2.97886,0.143
-0.489037,-0.517705,0.625958,2.97886,0.144
-0.488413,-0.517705,0.623141,2.97886,0.145
-0.487791,-0.517705,0.620326,2.97886,0.146
-0.487172,-0.517705,0.617514,2.97886,0.147
-0.486556,-0.517705,0.614705,2.97886,0.148
-0.485943,-0.470819,0.611899,0.21101,0.149
-0.485332,-0.470819,0.609095,0.21101,0.15
-0.484724,-0.470819,0.606295,0.21101,0.151
-0.484119,-0.470819,0.603497,0.21101,0.152
-0.483517,-0.470819,0.600702,0.21101,0.153
-0.482918,-0.470819,0.59791,0.21101,0.154
-0.482322,-0.470819,0.595121,0.21101,0.155
-0.481728,-0.500402,0.592335,-2.28507,0.156
-0.481137,-0.500402,0.589552,-2.28507,0.157
-0.480549,-0.500402,0.586771,-2.28507,0.158
-0.479963,-0.500402,0.583994,-2.28507,0.159
-0.479381,-0.500402,0.58122,-2.28507,0.16
-0.478801,-0.500402,0.578448,-2.28507,0.161
-0.478224,-0.527978,0.575679,0.746155,0.162
-0.47765,-0.525796,0.572914,1.20524,0.163
-0.477078,-0.525796,0.570151,1.20524,0.164
-0.476509,-0.525796,0.567392,1.20524,0.165
-0.475943,-0.525796,0.564635,1.20524,0.166
-0.47538,-0.525796,0.561882,1.20524,0.167
-0.474819,-0.482527,0.559131,2.8243,0.168
-0.474262,-0.479657,0.556384,2.87002,0.169
-0.473707,-0.479657,0.553639,2.87002,0.17
-0.473154,-0.479657,0.550898,2.87002,0.171
-0.472605,-0.479657,0.54816,2.87002,0.172
-0.472058,-0.479657,0.545425,2.87002,0.173
-0.471514,-0.479657,0.542693,2.87002,0.174
-0.470973,-0.467938,0.539963,-2.33032,0.175
-0.470434,-0.467938,0.537237,-2.33032,0.176
-0.469898,-0.467938,0.534515,-2.33032,0.177
-0.469365,-0.467938,0.531795,-2.33032,0.178
-0.468835,-0.467938,0.529078,-2.33032,0.179
-0.468307,-0.467938,0.526365,-2.33032,0.18
-0.467782,-0.467938,0.523654,-2.33032,0.181
-0.46726,-0.50894,0.520947,-0.158079,0.182
-0.46674,-0.508816,0.518243,0.1334,0.183
-0.466223,-0.508816,0.515542,0.1334,0.184
-0.465709,-0.508816,0.512844,0.1334,0.185
-0.465197,-0.508816,0.510149,0.1334,0.186
-0.464689,-0.508816,0.507457,0.1334,0.187
-0.464183,-0.481407,0.504769,2.73667,0.188
-0.463679,-0.478529,0.502084,2.87828,0.189
-0.463178,-0.478529,0.499401,2.87828,0.19
-0.46268,-0.478529,0.496722,2.87828,0.191
-0.462185,-0.478529,0.494046,2.87828,0.192
-0.461692,-0.478529,0.491374,2.87828,0.193
-0.461202,-0.478529,0.488704,2.87828,0.194
-0.460715,-0.457452,0.486038,-1.76953,0.195
-0.46023,-0.457452,0.483374,-1.76953,0.196
-0.459748,-0.457452,0.480714,-1.76953,0.197
